image_link,group_id,entity_name,entity_value,Extracted
https://m.media-amazon.com/images/I/51rOjk+XCEL.jpg,675317,depth,56.0 millimetre,"56mm/2.21""

 

37mm/1.46"""
https://m.media-amazon.com/images/I/5193Qm2eIvL.jpg,675317,width,25.0 millimetre,
https://m.media-amazon.com/images/I/61+3GFnpu5L.jpg,493268,depth,10.2 centimetre,"10.2cm/4in

     

WIDE RANGE OF APPLICATIONS

Suitable for kitchen, bathroom and outdoor
surfaces, including: wheels, carpets, interior
decoration, glass, leather, bathtubs
showers, tiles. etc"
https://m.media-amazon.com/images/I/615Y6Hm0MHL.jpg,558806,height,9.22 inch,"§7in-145¢m

 

 

92in-233cm"
https://m.media-amazon.com/images/I/61csA57PYkL.jpg,192132,item_weight,3.0 gram,"Rich In Color Fun And Interesting

Fun Picture Matching Game"
https://m.media-amazon.com/images/I/51C6QTjKMRL.jpg,433914,width,50.0 millimetre,
https://m.media-amazon.com/images/I/71Z4JztQSgL.jpg,271537,voltage,"[110.0, 120.0] volt","t
| Outlet

   

BDOOOE
FB) (Ss) ) (,

{lLengtis Quiet soaking
3F

my
c
a

Voltage Pawet Max Flow Rate
1710-120V 1500W; 2,0HP TICGEM"
https://m.media-amazon.com/images/I/51bBJvwb+CL.jpg,894599,depth,165.0 millimetre,"2.6in
65MM

8X

‘

 

165MM

Ruboe:

 

Artist p randle , [ Optical glass"
https://m.media-amazon.com/images/I/71XxqG4WbSL.jpg,639090,item_weight,376.0 gram,"GODIVA

Belgium 1926
MAST ERPIECES

 

Ne TE See EA

AN ASSORTMENT OF
LEGENDARY CHOCOLATES

MILK CHOCOLATE CARAMEL LION OF BELGIUM, DARK CHOCOLATE
GANACHE HEART, MILK CHOCOLATE HAZELNUT OYSTER

mena OL (316)"
https://m.media-amazon.com/images/I/81xBQQB2q9L.jpg,529606,item_weight,623 gram,"w
>z
om

. Os
Ke
33

és
O92
sé"
https://m.media-amazon.com/images/I/41InQC10+LL.jpg,369753,item_volume,24.0 cup,"8ES7 SOLUTION FOR
Acnes & Pimples
Treatment!

of Foe Amy age Sun “ype

C80 Be Used By Womae
Nae & Cre

wf vanety ot Sire"
https://m.media-amazon.com/images/I/51TMJqdz4dL.jpg,866516,width,15.0 centimetre,"15cm/5.9in

 

 

 

UIG'E/WISOL"
https://m.media-amazon.com/images/I/61F05qvE3iL.jpg,638301,depth,30.0 inch,"JHeropuct PRESENTATION

SERED F

® Custom Designed

® Itista-cred nace fer Can. 6D Mark Il to“: the LOD petecth,

 

 

© Although the GSP protector has multiple layers of protective matenals, its ultra-thin, and its thickness 1s mere
2.017(0 3mm), Designed with 2 SD round edge. the protector provides a very comfortable and smooth surtace to

9°. helping prevent the edges from scratching your fingers during installation.

\"
https://m.media-amazon.com/images/I/61HXHFEEeeL.jpg,273748,item_weight,13.0 gram,
https://m.media-amazon.com/images/I/516gk-pqqlL.jpg,752266,voltage,511.0 volt,
https://m.media-amazon.com/images/I/71CaCOFKK3L.jpg,524635,item_weight,30.0 gram,"ediLice’ * YS

Single Application Lice Formula

\

 

— ki —-

14 DAYS

 

  
   
  

10 min PROTECTION

Action

 

TD WASH

FORMULA

  

""ie

ger tk
vere

     

   

VS
WINGS
PHARMA

|
MediLice *""
\ fe:

 
 

  

LU
Lu LAL ict a
17h

yy
LCC ay aes

i
ae

et
et"
https://m.media-amazon.com/images/I/51L8nen317L.jpg,278696,depth,2.5 inch,
https://m.media-amazon.com/images/I/51OuyI1duzS.jpg,131797,depth,5.0 inch,
https://m.media-amazon.com/images/I/51KEI6Bri8L.jpg,120219,height,27.0 centimetre,
